Director,Education,Year Active,Birth Day,Birth Place,Roles,Died,Link
Edmund Goulding,,1916–1958,1891-03-20,"Feltham, Middlesex, England","Director, writer",1,https://en.wikipedia.org/wiki/Edmund_Goulding
Todd Graff,,1970–present,1959-10-22,"Queens, New York, U.S.","Actor, writer, director",0,https://en.wikipedia.org/wiki/Todd_Graff
William A. Graham,EducationYale University Neighborhood Playhouse School of the Theatre,1958–2002,1926-05-15,"New York City, New York, U.S.",Television director Film director,1,https://en.wikipedia.org/wiki/William_A._Graham_(director)
Lee Grant,,"2007, 2013","BornLyova Haskell RosenthalOctober 31, during the mid-1920s.[a] (age 92–94)New York City, New York, U.S.","New York City, New York, U.S.",Actress and director,0,https://en.wikipedia.org/wiki/Lee_Grant
F. Gary Gray,,1989–present,1969-07-17,"New York City, New York, U.S.","Film director, film producer, music video director, actor",0,https://en.wikipedia.org/wiki/F._Gary_Gray
Alfred E. Green,,,1889-07-11,"Perris, California",,1,https://en.wikipedia.org/wiki/Alfred_E._Green
David Gordon Green,,1997–present,1975-04-09,"Little Rock, Arkansas, U.S.","Film director, film producer, television producer, screenwriter",0,https://en.wikipedia.org/wiki/David_Gordon_Green
Guy Green,,1933–1986,1913-11-05,"Frome, Somerset, England","director, cinematographer, camera operator, screenwriter, producer",1,https://en.wikipedia.org/wiki/Guy_Green_(filmmaker)
Norm Green,,1996 – present,1956-11-03,United States,"Journalist, Director, Producer, Writer, Cinematographer",0,https://en.wikipedia.org/wiki/Norm_Green
Pamela Green,,,,,"Film director, film producer, motion graphics producer",0,https://en.wikipedia.org/wiki/Pamela_B._Green
Tom Green,,1986–present,1971-07-30,"Pembroke, Ontario, Canada","Comedian, actor, filmmaker, talk show host, rapper, musician",0,https://en.wikipedia.org/wiki/Tom_Green
Peter Greenaway,,,1942-04-05,"Newport, Wales, United Kingdom","Film director, screenwriter, and artist",0,https://en.wikipedia.org/wiki/Peter_Greenaway
Paul Greengrass,,1978–present,1955-08-13,"Cheam, Surrey, England","Film director, screenwriter, producer",0,https://en.wikipedia.org/wiki/Paul_Greengrass
Robert Greenwald,,,1945-08-28,"New York City, U.S.",Film director,0,https://en.wikipedia.org/wiki/Robert_Greenwald
Johannes Grenzfurthner,,,1975-06-13,,"Artist, filmmaker, writer, actor, curator, theatre director, performer, lecturer",0,https://en.wikipedia.org/wiki/Johannes_Grenzfurthner
John Greyson,,1984–present,1960-03-13,"Nelson, British Columbia, Canada","Film director, film producer, screenwriter",0,https://en.wikipedia.org/wiki/John_Greyson
John Grierson,,,1898-04-26,,Documentary maker,1,https://en.wikipedia.org/wiki/John_Grierson
D. W. Griffith,,1908–1931,1875-01-22,"Oldham County, Kentucky, U.S.",Directorwriterproducer,1,https://en.wikipedia.org/wiki/D._W._Griffith
Murray Grigor,,1967–present,"Born1939Inverness, Scotland","Inverness, Scotland",Film maker,0,https://en.wikipedia.org/wiki/Murray_Grigor
Nick Grinde,,1928-1945,1893-01-12,"Madison, Wisconsin",Film directorScreenwriter,1,https://en.wikipedia.org/wiki/Nick_Grinde
Christopher Guest,EducationBard CollegeNew York University,,1948-02-05,,,0,https://en.wikipedia.org/wiki/Christopher_Guest
Val Guest,,,1911-12-11,"Maida Vale, London, England","Film director, screenwriter",1,https://en.wikipedia.org/wiki/Val_Guest
John Guillermin,,1947–1988,1925-11-11,"London, England, UK",Film director,1,https://en.wikipedia.org/wiki/John_Guillermin
Fred Guiol,,,1898-02-17,"San Francisco, California","Film director, screenwriter",1,https://en.wikipedia.org/wiki/Fred_Guiol
Sacha Guitry,,1902–1957,"BornAlexandre-Pierre Georges Guitry21 February 1885Saint Petersburg, Russian Empire","Saint Petersburg, Russian Empire","Actor, playwright, impresario, screenwriter, film director",1,https://en.wikipedia.org/wiki/Sacha_Guitry
James Gunn,EducationLoyola Marymount UniversitySaint Louis University (BA)Columbia University (MFA),1989–present,1966-08-05,"St. Louis, Missouri, U.S.","Filmmaker, musician",0,https://en.wikipedia.org/wiki/James_Gunn_(filmmaker)
Hrafn Gunnlaugsson,,1974–present,1948-06-17,"Reykjavík, Iceland","Director, screenwriter",0,https://en.wikipedia.org/wiki/Hrafn_Gunnlaugsson
Manish Gupta,,2005 – present,"BornBombay, Maharashtra, India","Bombay, Maharashtra, India",Film director and screenwriter,0,https://en.wikipedia.org/wiki/Manish_Gupta_(director)
Stephen Gurewitz,,,,,"Film director, actor, film editor",0,https://en.wikipedia.org/wiki/Stephen_Gurewitz
Sebastian Gutierrez,,1994–present,1974-09-10,"Caracas, Venezuela","Film director, screenwriter, film producer",0,https://en.wikipedia.org/wiki/Sebastian_Gutierrez
Alice Guy-Blaché,,1894–1922,1873-07-01,"Saint-Mandé, France","Filmmaker, director, screenwriter, producer, actress",1,https://en.wikipedia.org/wiki/Alice_Guy-Blach%C3%A9
Patricio Guzmán,,1964–present,1941-08-11,"Santiago, Chile","director, screenwriter, cinematographer, actor",0,https://en.wikipedia.org/wiki/Patricio_Guzm%C3%A1n
Kamal Haasan,,,1954-11-07,,,0,https://en.wikipedia.org/wiki/Kamal_Haasan
Taylor Hackford,,1971–present,1944-12-31,"Santa Barbara, California, U.S.",Film director,0,https://en.wikipedia.org/wiki/Taylor_Hackford
Tala Hadid,,,"BornLondon, England","London, England",Film director and producer; Photographer,0,https://en.wikipedia.org/wiki/Tala_Hadid
Piers Haggard,,,1939-03-18,"London, England","Theatre director, film director, television director",0,https://en.wikipedia.org/wiki/Piers_Haggard
Paul Haggis,,1975–present,1953-03-10,"London, Ontario, Canada","Screenwriter, producer, director",0,https://en.wikipedia.org/wiki/Paul_Haggis
Larry Hagman,"EducationBard College, New York (withdrawn)",1950–2012,1931-09-21,"Fort Worth, Texas, U.S.","Actor, director, producer",1,https://en.wikipedia.org/wiki/Larry_Hagman
Alexander Hall,,,1894-01-11,,"Film director, theatre actor, and composer",1,https://en.wikipedia.org/wiki/Alexander_Hall
Lasse Hallström,,1973–present,1946-06-02,"Stockholm, Sweden","Film director, screenwriter.",0,https://en.wikipedia.org/wiki/Lasse_Hallstr%C3%B6m
Bent Hamer,,,1956-12-18,"Sandefjord, Norway","film director, writer, producer",0,https://en.wikipedia.org/wiki/Bent_Hamer
Guy Hamilton,,1938–1989,1922-09-16,"Paris, France",Film director,1,https://en.wikipedia.org/wiki/Guy_Hamilton
Hamish Hamilton,,1995–present,1966-04-08,"Blackpool, UK",,0,https://en.wikipedia.org/wiki/Hamish_Hamilton_(director)
John D. Hancock,,,1939-02-12,"Kansas City, Missouri, U.S.","Director, producer, screenwriter",0,https://en.wikipedia.org/wiki/John_D._Hancock
Michael Haneke,,,1942-03-23,"Munich, Germany","Film director, screenwriter",0,https://en.wikipedia.org/wiki/Michael_Haneke
Tom Hanks,"EducationCalifornia State University, Chabot College",1977–present,1956-07-09,"Concord, California, U.S.",Actorfilmmaker,0,https://en.wikipedia.org/wiki/Tom_Hanks
Curtis Hanson,,1970–2016,1945-03-24,"Reno, Nevada, U.S.",Directorproducerscreenwriter,1,https://en.wikipedia.org/wiki/Curtis_Hanson
Catherine Hardwicke,,1986–present,1955-10-21,"Cameron, Texas, U.S.","Film director, production designer, screenwriter",0,https://en.wikipedia.org/wiki/Catherine_Hardwicke
Renny Harlin,,1980–present,1959-03-15,"Riihimäki, Finland","Film director, film producer, screenwriter",0,https://en.wikipedia.org/wiki/Renny_Harlin
Mary Harron,,1987–present,1953-01-12,"Bracebridge, Ontario, Canada","Film director, screenwriter",0,https://en.wikipedia.org/wiki/Mary_Harron
William S. Hart,,1888–1941,1864-12-06,"Newburgh, New York, United States",Actorscreenwriterdirectorproducer,1,https://en.wikipedia.org/wiki/William_S._Hart
Hal Hartley,,1984–present,1959-11-03,"Lindenhurst, New York, U.S.","Director, screenwriter, producer, composer",0,https://en.wikipedia.org/wiki/Hal_Hartley
Anthony Harvey,,1950–1994,1930-06-03,"London, England",directorfilm editor,1,https://en.wikipedia.org/wiki/Anthony_Harvey
Herk Harvey,,1950–1983,1924-06-03,"Windsor, Colorado, U.S.","Film director, screenwriter, film producer, actor",1,https://en.wikipedia.org/wiki/Herk_Harvey
Henry Hathaway,,1925–1974,1898-03-13,"Sacramento, California, United States","Film director, Film producer",1,https://en.wikipedia.org/wiki/Henry_Hathaway
Howard Hawks,,1916–1970,1896-05-30,"Goshen, Indiana, U.S.",Film directorproducerscreenwriter,1,https://en.wikipedia.org/wiki/Howard_Hawks
Salma Hayek,,1988–present,1966-09-02,"Coatzacoalcos, Veracruz, Mexico","Actress, producer",0,https://en.wikipedia.org/wiki/Salma_Hayek
Todd Haynes,,1985–present,1961-01-02,"Los Angeles, California, U.S.",Filmmaker,0,https://en.wikipedia.org/wiki/Todd_Haynes
Victor Heerman,,,"BornAugust 27, 1893",,,1,https://en.wikipedia.org/wiki/Victor_Heerman
Stuart Heisler,,,"BornDecember 5, 1896Los Angeles, California","Los Angeles, California","Film director, film editor",1,https://en.wikipedia.org/wiki/Stuart_Heisler
Brian Helgeland,,1988–present,1961-01-17,"Providence, Rhode Island, U.S.","director, producer, screenwriter",0,https://en.wikipedia.org/wiki/Brian_Helgeland
Marielle Heller,,2001–present,1979-10,"Marin County, California, U.S.",Filmmakeractress,0,https://en.wikipedia.org/wiki/Marielle_Heller
Monte Hellman,EducationLos Angeles High School,,1932-07-12,"New York City, New York, U.S.","Film director, writer, producer, editor",0,https://en.wikipedia.org/wiki/Monte_Hellman
"Michael ""Ffish"" Hemschoot",,1996–present,"BornMichael John Hemschoot1972Aurora, Colorado, U.S.","Aurora, Colorado, U.S.","Director, animator, visual effects artistFounder, CEO Worker Studio",0,https://en.wikipedia.org/wiki/Michael_%22Ffish%22_Hemschoot
Florian Henckel von Donnersmarck,,1996–present,1973-05-02,"Cologne, West Germany (present-day Cologne, Germany)",Film director,0,https://en.wikipedia.org/wiki/Florian_Henckel_von_Donnersmarck
Dell Henderson,,1908-1950,1877-07-05,"St. Thomas, Ontario, Canada",,1,https://en.wikipedia.org/wiki/Dell_Henderson
Frank Henenlotter,,,1950-08-29,"New York City, New York, US","Screenwriter, film director, film historian",0,https://en.wikipedia.org/wiki/Frank_Henenlotter
Hobart Henley,,,"BornHess Manassah HenleNovember 23, 1887Louisville, Kentucky United States","Louisville, Kentucky United States",,1,https://en.wikipedia.org/wiki/Hobart_Henley
Brian Henson,,1979–present,1963-11-03,"New York City, New York, U.S.","Puppeteer, director, producer, technician, chairman of The Jim Henson Company",0,https://en.wikipedia.org/wiki/Brian_Henson
Jim Henson,"EducationUniversity of Maryland, College Park (B.S., 1960)",1954–1990,1936-09-24,"Greenville, Mississippi, U.S.[1]",Puppeteeranimatorcartoonistactorinventorfilmmakerscreenwriter,1,https://en.wikipedia.org/wiki/Jim_Henson
Perry Henzell,,,1936-03-07,"Annotto Bay, St. Mary's, Jamaica",Film director,1,https://en.wikipedia.org/wiki/Perry_Henzell
Stephen Herek,,1986–present,1958-11-10,"San Antonio, Texas, United States",Film director,0,https://en.wikipedia.org/wiki/Stephen_Herek
Albert Herman,,1914 - 1951,"Born22 February 1887Troy, New York United States","Troy, New York United States","Director, Screenwriter",1,https://en.wikipedia.org/wiki/Albert_Herman
Michael Herz,,,BornUnited States,United States,"Film producer, film director, screenwriter",0,https://en.wikipedia.org/wiki/Michael_Herz_(producer)
Werner Herzog,,1961–present,1942-09-05,"Munich, Germany","Director, producer, screenwriter, actor, narrator",0,https://en.wikipedia.org/wiki/Werner_Herzog
Zako Heskiya,,1965-1989,1922-09-21,"Istanbul, Turkey",Film director,1,https://en.wikipedia.org/wiki/Zako_Heskiya
Jared Hess,,,1979-07-18,"Glendale, Arizona, U.S.",Filmmaker,0,https://en.wikipedia.org/wiki/Jared_Hess
Jerusha Hess,,,1979-07-18,"Glendale, Arizona, U.S.",Filmmaker,0,https://en.wikipedia.org/wiki/Jerusha_Hess
Jennifer Love Hewitt,,1989–present,1979-02-21,"Waco, Texas, U.S.",Actressproducersinger,0,https://en.wikipedia.org/wiki/Jennifer_Love_Hewitt
David Hewlett,,1984–present,1968-04-18,"Redhill, Surrey, England",,0,https://en.wikipedia.org/wiki/David_Hewlett
Scott Hicks,,1974–present,1953-03-04,Uganda,"Film director, screenwriter",0,https://en.wikipedia.org/wiki/Scott_Hicks
George Roy Hill,,,1921-12-20,"Minneapolis, Minnesota, U.S.","Film and stage director, actor",1,https://en.wikipedia.org/wiki/George_Roy_Hill
George Hill,,1908 - 1934,1895-04-25,"Douglass, Kansas, U.S.","Film director, cinematographer",1,https://en.wikipedia.org/wiki/George_Hill_(director)
Jack Hill,EducationUCLA,1960–82,1933-01-28,"Los Angeles, California, U.S.",Film director,0,https://en.wikipedia.org/wiki/Jack_Hill
Robert F. Hill,,1915–1966,1886-04-14,"Port Rowan, Ontario, Canada","Actor, director, screenwriter",1,https://en.wikipedia.org/wiki/Robert_F._Hill
Sinclair Hill,,1920–1938,"Born10 June 1896Surbiton, Surrey, United Kingdom","Surbiton, Surrey, United Kingdom","Director, Producer, Writer",1,https://en.wikipedia.org/wiki/Sinclair_Hill
Walter Hill,,1968–present,1942-01-10,"Long Beach, California, U.S.","Film director, screenwriter, film producer",0,https://en.wikipedia.org/wiki/Walter_Hill
Arthur Hiller,,1955–2006,"BornNovember 22, 1923[1]Edmonton, Alberta, Canada","Edmonton, Alberta, Canada",Film and television director,1,https://en.wikipedia.org/wiki/Arthur_Hiller
Lambert Hillyer,,1917–1949,1893-07-08,"Tyner, Indiana","Film director, screenwriter",1,https://en.wikipedia.org/wiki/Lambert_Hillyer
Art Hindle,,1971–present,1948-07-21,"Halifax, Nova Scotia, Canada",Actordirector,0,https://en.wikipedia.org/wiki/Art_Hindle
Oliver Hirschbiegel,,1986–present,1957-12-29,"Hamburg, West Germany",Film director,0,https://en.wikipedia.org/wiki/Oliver_Hirschbiegel
Leslie S. Hiscott,,1923–1956,1894-07-25,"Fulham, London, England",,1,https://en.wikipedia.org/wiki/Leslie_S._Hiscott
Alfred Hitchcock,"EducationSalesian College, Battersea",1919–1980,1899-08-13,"Leytonstone, Essex, England",Film director film producer actor screenwriter film editor art director,1,https://en.wikipedia.org/wiki/Alfred_Hitchcock
Ho Ping,EducationMaster's degree,,"Born1958 (age 61–62)Hsinchu, Taiwan","Hsinchu, Taiwan",Film director,0,https://en.wikipedia.org/wiki/Ho_Ping
Gregory Hoblit,,1974–present,1944-11-27,"Abilene, Texas, U.S.","Film director, television director, television producer",0,https://en.wikipedia.org/wiki/Gregory_Hoblit
Brent Hodge,,2008–present,1985-07-09,"St. Albert, Alberta, Canada","Filmmaker, entrepreneur",0,https://en.wikipedia.org/wiki/Brent_Hodge
Mike Hodges,,,1932-07-29,"Bristol, England, United Kingdom","Film director, screenwriter",0,https://en.wikipedia.org/wiki/Mike_Hodges
Michael Hoffman,,,Born1961 (age 58–59),,Filmmaker,0,https://en.wikipedia.org/wiki/Michael_Hofmann_(director)
James P. Hogan,,,1890-09-21,"Lowell, Massachusetts",Director,1,https://en.wikipedia.org/wiki/James_P._Hogan_(director)
P.J. Hogan,,1984–present,1962-11-30,"Brisbane, Queensland, Australia","Film director, writer",0,https://en.wikipedia.org/wiki/P.J._Hogan
Clive Holden,,,,,"poet, visual artist",0,https://en.wikipedia.org/wiki/Clive_Holden
Agnieszka Holland,,1973-present,1948-11-28,"Warsaw, Poland","film and television director, screenwriter",0,https://en.wikipedia.org/wiki/Agnieszka_Holland
Savage Steve Holland,,1983–present,1958-04-29,United States,"Film director, writer, producer, animator, voice actor",0,https://en.wikipedia.org/wiki/Savage_Steve_Holland
Ben Holmes,,1928-1943,1890-11-06,"Richmond, Virginia, U.S.",Film directorScreenwriter,1,https://en.wikipedia.org/wiki/Ben_Holmes
Seth Holt,,,Born1923Palestine,Palestine,Director - Producer - Editor,1,https://en.wikipedia.org/wiki/Seth_Holt
Tobe Hooper,,1964–2017,1943-01-25,"Austin, Texas, U.S.","Director, screenwriter, producer",1,https://en.wikipedia.org/wiki/Tobe_Hooper
Tom Hooper,Education Highgate School Westminster School,1992–present,1972-10-05,"London, England",Directorproducerwriter,0,https://en.wikipedia.org/wiki/Tom_Hooper
Dennis Hopper,EducationHelix High School,1954–2010,1936-05-17,"Dodge City, Kansas, U.S.",Actorfilmmakerphotographerartist,1,https://en.wikipedia.org/wiki/Dennis_Hopper
James W. Horne,,,1881-12-14,"San Francisco, California, US",Film directoractorscreenwriter,1,https://en.wikipedia.org/wiki/James_W._Horne
Hou Hsiao-hsien,,,1947-04-08,"Mei County, Guangdong, Republic of China",Film directorScreenwriterProducerActor,0,https://en.wikipedia.org/wiki/Hou_Hsiao-hsien
John Hough,,,1941-11-21,"London, England",Film director,0,https://en.wikipedia.org/wiki/John_Hough_(director)
Byron Howard,,,1968-12-26,"Misawa, Japan","Director, screenwriter, producer, animator, voice actor",0,https://en.wikipedia.org/wiki/Byron_Howard
David Howard,,1930-1941,1896-10-06,"Philadelphia, Pennsylvania",Film director,1,https://en.wikipedia.org/wiki/David_Howard_(director)
Michael Howard,,1998–present,1978-02-18,"San Antonio, Texas, United States","Actor, film director, editor, screenwriter, and film producer",0,https://en.wikipedia.org/wiki/Michael_Howard_(filmmaker)
Ron Howard,EducationJohn Burroughs High School,1956–present,1954-03-01,"Duncan, Oklahoma, U.S.",Actordirectorproducerscreenwriter,0,https://en.wikipedia.org/wiki/Ron_Howard
William Howard,,,1899-06-16,"St. Marys, Ohio, USA","Film director, writer, producer",1,https://en.wikipedia.org/wiki/William_K._Howard
King Hu,,1956–1993,1932-04-29,"Beijing, Republic of China","Film director, screenwriter, set designer",1,https://en.wikipedia.org/wiki/King_Hu
L. Ron Hubbard,EducationGeorge Washington University (dropped out),,1911-03-13,"Tilden, Nebraska, U.S.","Author, religious leader",1,https://en.wikipedia.org/wiki/L._Ron_Hubbard
Reginald Hudlin,,1983–present,1961-12-15,"Centreville, Illinois, U.S.",Film directorWriterProducer,0,https://en.wikipedia.org/wiki/Reginald_Hudlin
Hugh Hudson,EducationEton College,1967 – present,1936-08-25,"London, England, UK","Director, producer, screenwriter",0,https://en.wikipedia.org/wiki/Hugh_Hudson
Howard Hughes,"EducationThacher School, Fessenden School",1926–1976,1905-12-24,"Humble, Texas, U.S.",Chairman and CEO of Summa CorporationFounder of The Howard Hughes CorporationFounder of the Hughes Aircraft CompanyFounder and benefactor of the Howard Hughes Medical Institute Owner of Hughes Airwest Airlines,1,https://en.wikipedia.org/wiki/Howard_Hughes
